district_id,district_name,fiscal_year,enrollment,total_revenue,instructional_expenditures,admin_expenditures,total_expenditures,spending_per_student,admin_overhead_ratio,state_code
0500001,DEWITT SCHOOL DISTRICT,2019,1225,14823000.0,7200000,4808000,13405000,10942.86,0.6678,AR
0500006,WARREN SCHOOL DISTRICT,2019,1564,18445000.0,8459000,6453000,16603000,10615.73,0.7629,AR
0500009,CORNING SCHOOL DISTRICT,2019,895,10650000.0,4610000,3659000,9077000,10141.9,0.7937,AR
0500012,RIVERSIDE SCHOOL DISTRICT,2019,802,7993000.0,4193000,2734000,7846000,9783.04,0.652,AR
0500015,SHERIDAN SCHOOL DISTRICT,2019,4229,47219000.0,20664000,14522000,55754000,13183.73,0.7028,AR
0500016,MARMADUKE SCHOOL DISTRICT,2019,787,7549000.0,3877000,2814000,7565000,9612.45,0.7258,AR
0500017,PARAGOULD SCHOOL DISTRICT,2019,3255,36202000.0,17027000,11723000,34280000,10531.49,0.6885,AR
0500019,BATESVILLE SCHOOL DISTRICT,2019,3414,36002000.0,16021000,11151000,33405000,9784.71,0.696,AR
0500020,MIDLAND SCHOOL DISTRICT,2019,545,6662000.0,3522000,2251000,6379000,11704.59,0.6391,AR
0500021,IZARD CO. CONS. SCHOOL DIST.,2019,556,6762000.0,3226000,2187000,6012000,10812.95,0.6779,AR
0500023,NEWPORT SCHOOL DISTRICT,2019,1245,14951000.0,7206000,4527000,13321000,10699.6,0.6282,AR
0500026,PINE BLUFF SCHOOL DISTRICT,2019,3059,43974000.0,18111000,19632000,41432000,13544.3,1.084,AR
0500028,STAR CITY SCHOOL DISTRICT,2019,1509,16242000.0,7548000,6131000,18955000,12561.3,0.8123,AR
0500029,GOSNELL SCHOOL DISTRICT,2019,1215,12823000.0,7005000,4551000,12664000,10423.05,0.6497,AR
0500030,NEVADA SCHOOL DISTRICT,2019,394,4448000.0,2612000,1609000,4608000,11695.43,0.616,AR
0500032,BEARDEN SCHOOL DISTRICT,2019,488,5864000.0,3033000,2170000,6218000,12741.8,0.7155,AR
